7,688,696,100,0,1993
14,688,703,100,0,2005
15,688,704,100,0,2011
22,688,711,100,0,2020
23,688,712,100,0,2032
31,688,720,100,0,2038
30,688,719,100,0,2047
38,688,727,100,0,2059
39,688,728,100,0,2065
46,688,735,100,0,2074
47,688,736,100,0,2083
54,688,743,100,0,2092
55,688,744,100,0,2104
62,688,751,100,0,2116
63,688,752,100,0,2120
70,688,759,100,0,2128
71,688,760,100,0,2137
78,688,767,100,0,2146
79,688,768,100,0,2155
86,688,775,100,0,2167
87,688,776,100,0,2173
94,688,783,100,0,2185
95,688,784,100,0,2191
102,688,791,100,0,2203
103,688,792,100,0,2209
110,688,799,100,0,2221
111,688,800,100,0,2227
118,688,807,100,0,2239
119,688,808,100,0,2245
126,688,815,100,0,2257
127,688,816,100,0,2263
134,688,823,100,0,2272
135,688,824,100,0,2281
142,688,831,100,0,2290
143,688,832,100,0,2299
150,688,839,100,0,2308
151,688,840,100,0,2317
158,688,847,100,0,2329
159,688,848,100,0,5395
160,688,849,100,0,5407
161,688,850,100,0,5413
162,688,851,100,0,5422
163,688,852,100,0,5434
164,688,853,100,0,5446
165,688,854,100,0,5458
167,688,856,100,0,5467
166,688,855,100,0,5470
168,688,857,100,0,5479
169,688,858,100,0,5485
170,688,859,100,0,5494
171,688,860,100,0,5503
172,688,861,100,0,5512
173,688,862,100,0,5524
174,688,863,100,0,5536
176,688,865,100,0,5539
175,688,864,100,0,5551
177,688,866,100,0,5563
178,688,867,100,0,5575
179,688,868,100,0,5583
180,688,869,100,0,5587
181,688,870,100,0,5593
182,688,871,100,0,5602
183,688,872,100,0,5611
186,688,875,100,0,5620
184,688,873,100,0,5629
185,688,874,100,0,5641
188,688,877,100,0,5653
189,688,878,100,0,5665
187,688,876,100,0,5668
191,688,880,100,0,5677
190,688,879,100,0,5683
192,688,881,100,0,5695
193,688,882,100,0,5701
194,688,883,100,0,5710
195,688,884,100,0,5722
196,688,885,100,0,5728
197,688,886,100,0,5737
